var1,var2,var3,var4,var5,var6,mf
85.1014,16848,16.6,643,0.3,0.0051,C3H3NO2
86.0599,15149,19.4,753,0.4,0.0057,C3H2O3
87.0438,18891,17,663,0.3,0.0046,C2HNO3
88.0755,15455,55.3,2156,1.1,0.0057,C2O4
89.0593,17062,5.5,215,0.1,0.0052,C2H3NO3
89.9639,16388,25,979,0.5,0.0055,C2H2O4
90.055,16786,3077.1,120565,58.7,0.0054,C2H2O4
90.0913,16209,6.6,257,0.1,0.0056,C2H2O4
91.058,15047,114.3,4490,2.2,0.0061,CHNO4
92.0606,16235,14.8,584,0.3,0.0057,CO5
95.0858,14819,15.5,616,0.3,0.0064,HNO5
96.0452,17267,5.8,230,0.1,0.0056,O6
97.0284,15246,132.2,5297,2.6,0.0064,H3NO5
97.1012,15604,11.3,454,0.2,0.0062,H3NO5
97.9689,15320,14.2,571,0.3,0.0064,H2O6
98.0314,13846,7.8,313,0.2,0.0071,H2O6
98.0596,17174,11.8,473,0.2,0.0057,H2O6
98.0969,16703,16.4,661,0.3,0.0059,H2O6
99.0442,16440,34.7,1398,0.7,0.006,C3HNO3
100.0756,21605,7.8,316,0.2,0.0046,C3O4
100.1123,15109,22.6,916,0.4,0.0066,C3O4
101.0035,12642,13.4,545,0.3,0.008,C3H3NO3
101.0604,13065,7.7,315,0.2,0.0077,C3H3NO3
102.055,15276,156.8,6399,3.1,0.0067,C3H2O4
102.1278,16259,37.5,1528,0.7,0.0063,C3H2O4
103.0397,14024,8.5,347,0.2,0.0073,C2HNO4
103.058,20037,10.8,441,0.2,0.0051,C2HNO4
104.0707,18492,4994.6,205265,100,0.0056,C2O5
105.0739,13847,201.4,8307,4,0.0076,C2H3NO4
106.0754,14340,22.6,936,0.5,0.0074,C2H2O5
107.085,15139,6.7,276,0.1,0.0071,CHNO5
108.0453,15513,5.4,224,0.1,0.007,CO6
109.0286,19579,14.3,597,0.3,0.0056,CH3NO5
109.0761,21658,6.2,259,0.1,0.005,CH3NO5
109.1012,16437,18,753,0.4,0.0066,CH3NO5
110.0602,17055,8.4,353,0.2,0.0065,CH2O6
111.0443,15127,7.3,307,0.1,0.0073,HNO6
111.1166,16481,9.4,394,0.2,0.0067,HNO6
111.9844,15641,23.4,988,0.5,0.0072,O7
112.0384,14578,17.9,756,0.4,0.0077,O7
112.9801,7694,6.2,264,0.1,0.0147,H3NO6
113.06,17269,8.8,375,0.2,0.0065,H3NO6
113.1328,15237,12.3,520,0.3,0.0074,H3NO6
113.9637,14087,30.2,1286,0.6,0.0081,H2O7
114.0554,14901,24.3,1032,0.5,0.0077,H2O7
114.948,27580,5.1,219,0.1,0.0042,C3HNO4
115.0393,18110,16.6,708,0.3,0.0064,C3HNO4
115.9796,14083,20.3,868,0.4,0.0082,C3O5
116.0706,15392,351.6,15052,7.3,0.0075,C3O5
116.9646,13898,6.9,295,0.1,0.0084,C3H3NO4
117.0543,16587,23,986,0.5,0.0071,C3H3NO4
117.0737,16890,22.6,970,0.5,0.0069,C3H3NO4
118.0859,12990,6.2,267,0.1,0.0091,C3H2O5
118.1226,13437,6.6,285,0.1,0.0088,C3H2O5
120.0659,20205,8.8,382,0.2,0.0059,C2O6
121.101,14227,10.5,461,0.2,0.0085,C2H3NO5
122.0602,16396,14.7,646,0.3,0.0074,C2H2O6
123.1168,14531,10.8,479,0.2,0.0085,CHNO6
124.0758,18587,4.7,210,0.1,0.0067,CO7
125.0962,13872,6,269,0.1,0.009,CH3NO6
126.0543,14524,35.1,1578,0.8,0.0087,CH2O7
127.0389,13847,136.3,6158,3,0.0092,HNO7
127.0752,32201,5,226,0.1,0.0039,HNO7
127.1475,13550,9.4,425,0.2,0.0094,HNO7
127.979,17437,6.6,298,0.1,0.0073,O8
128.0106,14901,6.9,313,0.2,0.0086,O8
128.0425,19805,14.6,663,0.3,0.0065,O8
128.071,14219,13.4,609,0.3,0.009,O8
129.0549,15631,9.5,436,0.2,0.0083,H3NO7
129.9596,12615,6.4,295,0.1,0.0103,H2O8
129.9954,12878,10.2,465,0.2,0.0101,H2O8
130.0507,15289,5.2,241,0.1,0.0085,H2O8
130.0861,19377,20.1,923,0.4,0.0067,H2O8
131.93,14134,7.6,352,0.2,0.0093,C3O6
131.974,13856,11.7,540,0.3,0.0095,C3O6
132.0656,13384,34.7,1605,0.8,0.0099,C3O6
132.1016,13164,5.3,246,0.1,0.01,C3O6
132.959,13682,32.7,1517,0.7,0.0097,C3H3NO5
133.0494,14620,126.7,5888,2.9,0.0091,C3H3NO5
133.0964,8561,8.4,389,0.2,0.0155,C3H3NO5
133.9722,15273,10.1,469,0.2,0.0088,C3H2O6
134.0537,10951,6.7,314,0.2,0.0122,C3H2O6
134.0812,13196,15.3,715,0.3,0.0102,C3H2O6
134.9562,15833,164,7676,3.7,0.0085,C2HNO6
135.1165,13695,9.7,453,0.2,0.0099,C2HNO6
135.9587,11516,6.5,307,0.1,0.0118,C2O7
136.9529,12954,7.8,369,0.2,0.0106,C2H3NO6
137.1327,17514,10.4,490,0.2,0.0078,C2H3NO6
138.0553,13809,8.6,410,0.2,0.01,C2H2O7
139.0504,14490,15.8,754,0.4,0.0096,CHNO7
140.0706,16587,21.8,1041,0.5,0.0084,CO8
141.0659,15140,46,2206,1.1,0.0093,CH3NO7
141.1638,16927,8.8,420,0.2,0.0083,CH3NO7
142.0499,17218,7.6,366,0.2,0.0082,CH2O8
142.0866,13991,9,433,0.2,0.0102,CH2O8
142.9544,13294,7.9,383,0.2,0.0108,HNO8
143.0317,14090,8.1,392,0.2,0.0102,HNO8
143.0578,15033,46.3,2243,1.1,0.0095,HNO8
143.9744,13270,20.1,975,0.5,0.0108,O9
144.0656,15070,32.1,1559,0.8,0.0096,O9
144.9585,17526,14.4,701,0.3,0.0083,H3NO8
144.9862,31178,6,292,0.1,0.0047,H3NO8
145.0494,14981,83.3,4061,2,0.0097,H3NO8
145.99,13916,36.4,1777,0.9,0.0105,H2O9
146.0527,14494,7.1,348,0.2,0.0101,H2O9
146.0811,14984,111.4,5442,2.7,0.0097,H2O9
146.9746,13324,20.2,988,0.5,0.011,C3HNO6
147.0838,10873,8.3,409,0.2,0.0135,C3HNO6
147.1154,11792,4.9,238,0.1,0.0125,C3HNO6
148.0604,17031,4.6,224,0.1,0.0087,C3O7
148.0961,14299,11.1,548,0.3,0.0104,C3O7
148.9717,16050,67,3307,1.6,0.0093,C3H3NO6
149.0232,16471,43.2,2132,1,0.009,C3H3NO6
149.1327,13793,10.1,497,0.2,0.0108,C3H3NO6
149.9462,10556,4.2,209,0.1,0.0142,C3H2O7
149.9694,9702,9.1,449,0.2,0.0155,C3H2O7
150.0757,14365,14.3,706,0.3,0.0104,C3H2O7
150.1117,15910,6.1,303,0.1,0.0094,C3H2O7
150.9511,15274,100.3,4971,2.4,0.0099,C2HNO7
151.9519,16925,6.8,337,0.2,0.009,C2O8
152.071,17341,15.2,756,0.4,0.0088,C2O8
152.9665,14749,37.3,1857,0.9,0.0104,C2H3NO7
153.0664,10797,4.3,214,0.1,0.0142,C2H3NO7
153.8953,18458,5.6,282,0.1,0.0083,C2H2O8
154.0485,19359,14,701,0.3,0.008,C2H2O8
155.0814,14560,65.9,3305,1.6,0.0107,CHNO8
155.9747,14550,14.4,722,0.4,0.0107,CO9
156.0663,12716,17.3,871,0.4,0.0123,CO9
156.9597,15343,5.7,288,0.1,0.0102,CH3NO8
157.9899,14724,22.6,1145,0.6,0.0107,CH2O9
158.0815,16204,13.8,700,0.3,0.0098,CH2O9
158.9729,12308,15.7,798,0.4,0.0129,HNO9
159.0669,12920,7.4,377,0.2,0.0123,HNO9
160.0055,14933,69.7,3541,1.7,0.0107,O10
160.0607,13126,11.8,597,0.3,0.0122,O10
160.0972,14555,24.9,1264,0.6,0.011,O10
160.9532,13543,8.4,427,0.2,0.0119,H3NO9
161.0057,9875,6.7,340,0.2,0.0163,H3NO9
161.0445,17029,22.8,1158,0.6,0.0095,H3NO9
161.0681,13588,24.6,1250,0.6,0.0119,H3NO9
161.0949,9700,5.1,258,0.1,0.0166,H3NO9
161.1324,14418,5.3,271,0.1,0.0112,H3NO9
161.9847,17056,40.5,2064,1,0.0095,H2O10
162.0761,16699,250.1,12760,6.2,0.0097,H2O10
162.9699,16530,6.2,317,0.2,0.0099,C3HNO7
163.0769,11346,23.4,1198,0.6,0.0144,C3HNO7
163.1484,15898,4.6,236,0.1,0.0103,C3HNO7
164.0916,14889,101.6,5212,2.5,0.011,C3O8
164.9678,15219,16.5,846,0.4,0.0108,C3H3NO7
165.0951,14247,7.6,390,0.2,0.0116,C3H3NO7
166.9226,14017,7.6,394,0.2,0.0119,C2HNO8
166.9824,15835,17,880,0.4,0.0105,C2HNO8
167.0344,14919,14.5,751,0.4,0.0112,C2HNO8
167.0815,17333,23.6,1221,0.6,0.0096,C2HNO8
167.9755,15748,9.4,487,0.2,0.0107,C2O9
168.0661,13364,54.3,2811,1.4,0.0126,C2O9
168.9174,15298,140.7,7294,3.6,0.011,C2H3NO8
168.9613,14046,33.1,1716,0.8,0.012,C2H3NO8
169.0145,13552,5.7,293,0.1,0.0125,C2H3NO8
169.0704,8879,8.4,433,0.2,0.019,C2H3NO8
169.0972,14764,79.8,4137,2,0.0115,C2H3NO8
169.9187,18012,8.6,445,0.2,0.0094,C2H2O9
169.9895,13239,11.7,606,0.3,0.0128,C2H2O9
170.0814,14602,61.3,3184,1.6,0.0116,C2H2O9
170.9144,15549,52.3,2719,1.3,0.011,CHNO9
170.9743,11508,5.3,273,0.1,0.0149,CHNO9
171.0811,12062,9.2,477,0.2,0.0142,CHNO9
172.0063,11478,11.8,614,0.3,0.015,CO10
172.0609,11461,5.4,280,0.1,0.015,CO10
172.0962,10525,7.7,402,0.2,0.0164,CO10
172.9736,14963,26.1,1361,0.7,0.0116,CH3NO9
173.0422,16458,21.9,1141,0.6,0.0105,CH3NO9
173.0943,9416,7.8,404,0.2,0.0184,CH3NO9
173.9841,15453,10.3,540,0.3,0.0113,CH2O10
174.0215,14319,16.5,863,0.4,0.0122,CH2O10
174.0766,14176,23.2,1212,0.6,0.0123,CH2O10
174.969,15941,381.4,19961,9.7,0.011,HNO10
175.1454,14639,4.2,218,0.1,0.012,HNO10
175.9724,13738,25.7,1346,0.7,0.0128,C4O8
176.0006,15382,42.8,2240,1.1,0.0114,C4O8
176.0556,13948,4,209,0.1,0.0126,C4O8
176.0919,13890,35.8,1877,0.9,0.0127,C4O8
176.9693,12485,11.1,580,0.3,0.0142,H3NO10
177.1648,10961,4.3,227,0.1,0.0162,H3NO10
177.9572,14174,9.3,489,0.2,0.0126,C4H2O8
177.9988,15134,40.5,2124,1,0.0118,C4H2O8
178.0713,15352,10.5,550,0.3,0.0116,C4H2O8
178.107,14697,28.9,1519,0.7,0.0121,C4H2O8
178.9461,15341,90.4,4756,2.3,0.0117,C3HNO8
179.1041,11399,17.7,932,0.5,0.0157,C3HNO8
179.951,14761,120.8,6365,3.1,0.0122,C3O9
179.9952,13455,7.2,379,0.2,0.0134,C3O9
180.0868,15425,419.5,22120,10.8,0.0117,C3O9
180.9395,12308,18.3,966,0.5,0.0147,C3H3NO8
181.0617,12268,6.6,349,0.2,0.0148,C3H3NO8
181.0918,12838,42.9,2267,1.1,0.0141,C3H3NO8
181.9483,15081,41.7,2202,1.1,0.0121,C3H2O9
182.0819,14375,101.9,5393,2.6,0.0127,C3H2O9
182.9349,11476,4,214,0.1,0.0159,C2HNO9
182.9772,16397,16.5,875,0.4,0.0112,C2HNO9
183.0817,9753,13.5,715,0.3,0.0188,C2HNO9
183.1128,15318,31.2,1651,0.8,0.012,C2HNO9
183.9744,9329,3.9,206,0.1,0.0197,C2O10
184.0602,13050,13.6,719,0.4,0.0141,C2O10
