법원명,사건번호,매각기일,주소,감정가,최저가,태그,주거형태,건물평수,조회수,경매/공매,임대여부
진주지원,2021타경1550[1],D-57,경상남도 산청군 산청읍 차탄리 산9,20억4926만6000원,2억7504만8000원,#유찰9회#재매각#분묘기지권#맹지,임야,20228평,view 508,경매,False
서울남부지법,2022타경156[1],D-56,서울특별시 영등포구 영등포로65길 15-1,12억1878만5600원,9억7502만8000원,#유찰1회,다가구,73평,view 2.6k,경매,False
서울남부지법,2022타경102168[1],D-56,"서울특별시 강서구 공항대로55길 10-3, 제6층 제602호 (등촌동, 워너빌)",1억2448만원,4079만원,#유찰5회#선순위임차인#위반건축물#임차권등기,다세대,6평,view 429,경매,False
서울남부지법,2022타경114307[1],D-56,"서울특별시 영등포구 경인로112길 4-7, 제6층 제601호 (영등포동1가, 메트로가든)",1억3900만원,1억1120만원,#유찰1회,오피스텔(주거),4평,view 344,경매,False
서산지원,2022타경56959[1],D-55,충청남도 당진시 고대면 용두리 326,1억404만7980원,3568만9000원,#유찰3회,단독주택,20평,view 550,경매,False
서산지원,2022타경53899[1],D-55,"충청남도 당진시 당진중앙2로 331, 102동 5층503호 (원당동,파크빌아파트)",2억6900만원,4521만1000원,#유찰5회#선순위임차인#임차권등기,아파트,26평,view 528,경매,False
서산지원,2023타경50040[1],D-55,충청남도 태안군 태안읍 삭선길 444-40,1억7003만2000원,8331만5000원,#유찰2회,단독주택,27평,view 474,경매,False
서산지원,2020타경6127[1],D-55,충청남도 당진시 송악읍 옛터골길 13-21,9억6372만8400원,2억3139만1000원,#유찰4회#재매각#유치권#특별매각조건,상가,219평,view 404,경매,False
서산지원,2022타경2334[1],D-55,충청남도 태안군 안면읍 창기리 1287-39,7642만4400원,3744만8000원,#유찰2회#재매각#지분매각#농지취득자격증명#맹지,답,109평,view 212,경매,False
서산지원,2022타경53769[1],D-55,충청남도 당진시 대호지면 사성리 산13-1,5454만9000원,916만8000원,#유찰5회#지분매각#맹지,임야,1501평,view 171,경매,False
서산지원,2022타경58009[1],D-55,충청남도 당진시 석문면 난지도리 177-34,6억5857만6000원,2억2589만1000원,#유찰3회,다가구,101평,view 162,경매,False
서산지원,2022타경4491[2],D-55,충청남도 서산시 대산읍 오지리 313-96,6547만2000원,2245만7000원,#유찰3회#맹지,염전,301평,view 148,경매,False
서산지원,2022타경3726[1],D-55,충청남도 당진시 정미면 천의리 120-5,4322만3750원,1037만8000원,#유찰4회#지분매각#맹지,임야,2588719평,view 147,경매,False
서산지원,2022타경4460[1],D-55,충청남도 태안군 안면읍 창기리 61-107,2600만5210원,892만원,#유찰3회#지분매각#특별매각조건#맹지,유지,49820평,view 106,경매,False
서산지원,2022타경4002[2],D-55,충청남도 당진시 송악읍 전대리 515,2억7621만원,9474만원,#유찰3회#농지취득자격증명,답,540평,view 92,경매,False
서산지원,2022타경56041[1],D-55,충청남도 서산시 부석면 송시리 311,5546만원,1902만3000원,#유찰3회#재매각#농지취득자격증명#맹지,답,357평,view 89,경매,False
서산지원,2022타경53837[1],D-55,"충청남도 당진시 송산로 270-38, 1층 102호",1억7100만원,2874만원,#유찰5회#선순위임차인#임차권등기,다세대,20평,view 71,경매,False
서산지원,2023타경51951[1],D-55,"충청남도 서산시 한마음2로 22, 103동 6층602호 (석림동,서산센트럴코아루아파트)",2억3600만원,1억6520만원,#유찰1회,아파트,20평,view 69,경매,False
서산지원,2022타경4002[1],D-55,충청남도 당진시 신평면 상오리 553-4,2억6373만6000원,9046만2000원,#유찰3회#농지취득자격증명#맹지,답,540평,view 61,경매,False
서산지원,2023타경52190[1],D-55,"충청남도 서산시 지곡면 충의로 762-78, 117동 6층603호 (늘푸른오스카빌)",1억2700만원,8890만원,#유찰1회,아파트,26평,view 57,경매,False
서산지원,2023타경51791[1],D-55,"충청남도 당진시 백암로 219-64, 102동 19층1903호 (채운동,채운공원휴먼빌아파트)",2억3100만원,1억6170만원,#유찰1회,아파트,30평,view 56,경매,False
서산지원,2023타경50651[1],D-55,"충청남도 서산시 성연면 성연3로 76, 403동 9층903호 (힐스테이트서산아파트)",2억8000만원,1억9600만원,#유찰1회#선순위임차인,아파트,26평,view 55,경매,False
서산지원,2022타경1911[1],D-55,충청남도 태안군 안면읍 백사장2길 13,29억5만9200원,14억2102만9000원,#유찰2회,상가,608평,view 54,경매,False
서산지원,2023타경632[1],D-55,"충청남도 서산시 한마음2로 22, 104동 6층602호 (석림동,서산센트럴코아루아파트)",2억6900만원,1억8830만원,#유찰1회,아파트,23평,view 46,경매,False
서산지원,2022타경57426[2],D-55,충청남도 서산시 성연면 명천리 102-1,2억2869만원,1억1205만8000원,#유찰2회#농지취득자격증명#맹지,전,1099평,view 45,경매,False
서산지원,2023타경51098[1],D-55,"충청남도 서산시 성연면 성연3로 76, 401동 7층703호 (힐스테이트서산아파트)",2억8400만원,1억9880만원,#유찰1회,아파트,26평,view 45,경매,False
서산지원,2022타경53066[1],D-55,충청남도 당진시 채운동 82-2,1억5475만3000원,7582만9000원,#유찰2회#형식적경매#농지취득자격증명#맹지,임야,442평,view 44,경매,False
서산지원,2022타경4941[1],D-55,충청남도 당진시 송산면 동곡리 23-18,6772만1000원,2322만9000원,#유찰3회#형식적경매#맹지,임야,85평,view 43,경매,False
서산지원,2023타경52206[1],D-55,"충청남도 서산시 한마음2로 22, 103동 4층401호 (석림동,서산센트럴코아루아파트)",2억6100만원,1억8270만원,#유찰1회#선순위임차인#선순위전세권#임차권등기,아파트,23평,view 43,경매,False
서산지원,2022타경4583[1],D-55,충청남도 당진시 고대면 장항리 산34-2,4억8194만2000원,2억3615만1000원,#유찰2회#지분매각,임야,1619평,view 42,경매,False
서산지원,2023타경632[2],D-55,"충청남도 서산시 한마음2로 22, 104동 6층601호 (석림동,서산센트럴코아루아파트)",2억6900만원,1억8830만원,#유찰1회,아파트,23평,view 39,경매,False
서산지원,2022타경1782[1],D-55,충청남도 당진시 정미면 염솔로 383-4,2억4083만9680원,1억6858만8000원,#유찰1회,단독주택,79평,view 38,경매,False
서산지원,2022타경57426[1],D-55,충청남도 서산시 지곡면 화천리 899,6662만4000원,3264만6000원,#유찰2회#지분매각#특별매각조건#농지취득자격증명#맹지,답,210평,view 38,경매,False
서산지원,2023타경267[1],D-55,충청남도 당진시 송악읍 부곡리 198-2,11억8397만8000원,5억8015만원,#유찰2회#농지취득자격증명,전,1530평,view 38,경매,False
서산지원,2023타경51555[2],D-55,충청남도 당진시 송악읍 가학리 340-9,3686만원,2580만2000원,#유찰1회,임야,115평,view 38,경매,False
서산지원,2022타경57938[1],D-55,충청남도 당진시 송악읍 석포리 산54-7,6222만8000원,3049만2000원,#유찰2회#임차권등기#특별매각조건#맹지,임야,201평,view 36,경매,False
서산지원,2023타경1185[1],D-55,"충청남도 서산시 서령로 157-27, 104동 5층501호 (동문동,서산동문꿈에그린아파트)",2억6700만원,1억8690만원,#유찰1회,아파트,26평,view 35,경매,False
서산지원,2022타경56164[1],D-55,충청남도 서산시 팔봉면 호리 550-2,4억9824만6000원,3억4877만2000원,#유찰1회#재매각#특별매각조건,임야,4028평,view 33,경매,False
서산지원,2022타경57556[1],D-55,충청남도 당진시 대덕동 896-3,2억2994만4000원,1억6096만1000원,#유찰1회#지분매각#특별매각조건#농지취득자격증명,임야,621평,view 32,경매,False
서산지원,2023타경1406[1],D-55,"충청남도 서산시 음암면 석동로 36, 1동 10층1002호 (개나리아파트)",5300만원,3710만원,#유찰1회,아파트,19평,view 31,경매,False
서산지원,2023타경50354[3],D-55,충청남도 당진시 석문면 삼화리 666-2,2억2213만2000원,1억884만4000원,#유찰2회#농지취득자격증명,전,628평,view 31,경매,False
서산지원,2023타경51678[1],D-55,충청남도 당진시 합덕읍 운산리 20-1,3억7094만4000원,2억5966만1000원,#유찰1회#분묘기지권#형식적경매#농지취득자격증명#맹지,전,780평,view 30,경매,False
서산지원,2023타경50354[2],D-55,충청남도 당진시 송악읍 금곡리 304,2억6537만원,1억3003만1000원,#유찰2회#농지취득자격증명#맹지,전,694평,view 29,경매,False
서산지원,2023타경50330[1],D-55,"충청남도 당진시 송산로 270-38, 4층402호",2억800만원,1억192만원,#유찰2회#선순위임차인,다세대,20평,view 27,경매,False
서산지원,2023타경50354[1],D-55,충청남도 당진시 송악읍 영천리 146,2억6384만7000원,1억2928만5000원,#유찰2회#농지취득자격증명#맹지,답,719평,view 27,경매,False
경주지원,2020타경1710[2],D-55,경상북도 경주시 외동읍 내외로 352-47 (주건축물제1동),136억299만2710원,95억2209만5000원,#유찰1회#선순위임차인,공장,3869평,view 27,경매,False
서산지원,2022타경3399[1],D-55,"충청남도 당진시 송악읍 월곡로 23, 비동 2층201호 (우진에이스빌)",1억1200만원,7840만원,#유찰1회,다세대,15평,view 25,경매,False
서산지원,2022타경58214[1],D-55,충청남도 태안군 근흥면 가의도리 산42,2727만4500원,1909만2000원,#유찰1회#맹지,전,1501평,view 25,경매,False
서산지원,2022타경55796[1],D-55,충청남도 당진시 송악읍 월곡리 57-1,4억1853만5000원,2억508만3000원,#유찰2회#농지취득자격증명,답,644평,view 24,경매,False
서산지원,2023타경373[1],D-55,충청남도 당진시 송악읍 반촌리 467-5,6억8098만2000원,3억3368만1000원,#유찰2회#농지취득자격증명,전,1697평,view 22,경매,False
서산지원,2023타경694[1],D-55,충청남도 태안군 근흥면 용신리 345-6,1억9352만3000원,1억3546만6000원,#유찰1회#맹지,임야,802평,view 21,경매,False
서산지원,2023타경51555[1],D-55,충청남도 당진시 송악읍 가학리 341-1,1251만3000원,875만9000원,#유찰1회,전,39평,view 20,경매,False
서산지원,2023타경52169[1],D-55,"충청남도 태안군 태안읍 능샘4길 32, 3층303호 (보령주택)",6200만원,4340만원,#유찰1회,연립,25평,view 20,경매,False
서산지원,2023타경731[2],D-55,충청남도 당진시 정미면 대조리 191-7,3억8067만원,2억6646만9000원,#유찰1회#분묘기지권#농지취득자격증명,전,4719평,view 19,경매,False
서산지원,2023타경51197[1],D-55,충청남도 태안군 이원면 관리 산51-3,3억3058만원,2억3140만6000원,#유찰1회#분묘기지권#맹지,임야,5000평,view 17,경매,False
서산지원,2023타경953[1],D-55,충청남도 당진시 석문면 삼봉리 992-4,2억7716만원,1억9401만2000원,#유찰1회#농지취득자격증명#맹지,답,645평,view 16,경매,False
서산지원,2023타경731[1],D-55,충청남도 당진시 정미면 대조리 189,5억388만5000원,3억5272만원,#유찰1회#법정지상권#농지취득자격증명,전,3851평,view 15,경매,False
서산지원,2023타경1017[1],D-55,충청남도 당진시 송악읍 정곡리 28-30,9307만원,6514만9000원,#유찰1회#농지취득자격증명#맹지,답,344평,view 14,경매,False
서산지원,2023타경50705[1],D-55,충청남도 당진시 송악읍 가학리 207-6,2423만6000원,1696만5000원,#유찰1회#형식적경매#맹지,임야,89평,view 13,경매,False
서산지원,2023타경199[1],D-55,충청남도 서산시 팔봉면 진장리 761,9억394만6500원,6억3276만3000원,#유찰1회#농지취득자격증명,답,5338평,view 12,경매,False
서산지원,2023타경50958[1],D-55,"충청남도 당진시 송산로 270-26, 3층302호",1억7700만원,1억2390만원,#유찰1회,다세대,17평,view 12,경매,False
