em,mf,unsat,error,ppm,info
300.0,C25,26,0.0,0.0,C25
299.9991651367,C9N8O5,14,-0.0008348633,-2.7829,N8O5C9
300.0018504749,C13H4N2O7,13,0.0018504749,6.1682,N2O7C13H4
299.9978277238,C8H4N4O9,9,-0.0021722762,-7.241,N4O9C8H4
300.0031878878,C14N6O3,18,0.0031878878,10.6262,N6O3C14
299.9959772488,C20N2O2,22,-0.0040227512,-13.409400000000002,N2O2C20
299.9951423855,C4N10O7,10,-0.0048576145,-16.1923,N10O7C4
300.0050383628,C2H4N8O10,5,0.0050383628,16.7943,N8O10C2H4
300.0058732261,C18H4O5,17,0.0058732261,19.576999999999998,O5C18H4
300.007210639,C19N4O,22,0.007210639,24.0349,N4OC19
299.9919544977,C15N4O4,18,-0.0080455023,-26.8191,N4O4C15
300.0090611139,C7H4N6O8,9,0.0090611139,30.2028,N6O8C7H4
299.9906170848,C14H4O8,13,-0.0093829152,-31.2774,O8C14H4
300.0103985268,C8N10O4,14,0.0103985268,34.660599999999995,N10O4C8
300.0117464522,C11H8O10,8,0.0117464522,39.153299999999994,O10C11H8
299.9879317465,C10N6O6,14,-0.0120682535,-40.229099999999995,N6O6C10
300.0130838651,C12H4N4O6,13,0.0130838651,43.611,N4O6C12H4
299.9865943336,C9H4N2O10,9,-0.0134056664,-44.6876,N2O10C9H4
300.014421278,C13N8O2,18,0.014421278,48.0686,N8O2C13
299.9847438587,C21O3,22,-0.0152561413,-50.8564,O3C21
299.9839089954,C5N8O8,10,-0.0160910046,-53.6396,N8O8C5
300.0162717529,CH4N10O9,5,0.0162717529,54.236200000000004,N10O9CH4
300.0171066163,C17H4N2O4,17,0.0171066163,57.0188,N2O4C17H4
300.0184440292,C18N6,22,0.0184440292,61.4763,N6C18
299.9807211075,C16N2O5,18,-0.0192788925,-64.2671,N2O5C16
299.9798862442,N10O10,6,-0.0201137558,-67.0503,N10O10
300.0202945041,C6H4N8O7,9,0.0202945041,67.6438,N8O7C6H4
300.0211293674,C22H4O2,21,0.0211293674,70.4263,O2C22H4
300.0229798423,C10H8N2O9,8,0.0229798423,76.59360000000001,N2O9C10H8
299.9766983564,C11N4O7,14,-0.0233016436,-77.6782,N4O7C11
300.0243172553,C11H4N6O5,13,0.0243172553,81.0509,N6O5C11H4
300.0256546682,C12N10O,18,0.0256546682,85.5082,N10OC12
300.0270025935,C15H8O7,12,0.0270025935,90.0005,O7C15H8
299.9726756052,C6N6O9,10,-0.0273243948,-91.08959999999999,N6O9C6
300.0283400064,C16H4N4O3,17,0.0283400064,94.45779999999999,N4O3C16H4
300.0301904813,C4H8N6O10,4,0.0301904813,100.62480000000001,N6O10C4H8
299.9694877174,C17O6,18,-0.0305122826,-101.718,O6C17
300.0315278943,C5H4N10O6,9,0.0315278943,105.0819,N10O6C5H4
300.0323627576,C21H4N2O,21,0.0323627576,107.8642,N2OC21H4
300.0342132325,C9H8N4O8,8,0.0342132325,114.0311,N4O8C9H8
299.9654649662,C12N2O8,14,-0.0345350338,-115.13000000000001,N2O8C12
300.0355506454,C10H4N8O4,13,0.0355506454,118.4881,N8O4C10H4
300.0382359837,C14H8N2O6,12,0.0382359837,127.437,N2O6C14H8
299.9614422151,C7N4O10,10,-0.0385577849,-128.5425,N4O10C7
